# mahimahi mm-link (Uplink) [/usr/share/mahimahi/traces/ATT-LTE-driving.up] > /pantheon/src/experiments/data/trail/cubic_mm_datalink_run1.log
# command line: 'mm-link' '/usr/share/mahimahi/traces/ATT-LTE-driving.up' '/usr/share/mahimahi/traces/ATT-LTE-driving.down' '--uplink-log=/pantheon/src/experiments/data/trail/cubic_mm_datalink_run1.log' '--downlink-log=/pantheon/src/experiments/data/trail/cubic_mm_acklink_run1.log' '--uplink-queue=codel' '--downlink-queue=codel' '--uplink-queue-args="target=512,interval=100,packets=100"' '--downlink-queue-args="target=512,interval=100,packets=100"' 'python' '/pantheon/src/experiments/tunnel_manager.py'
# queue: codel [packets=100]
# init timestamp: 1744951481554
# base timestamp: 32
5525 - 1504 211
5528 + 1504
5528 + 1504
5534 # 1504
5534 - 1504 220
5545 # 1504
5545 - 1504 231
5545 # 1504
5545 - 1504 231
5552 + 1504
5552 + 1504
5554 # 1504
5554 - 1504 240
5557 + 1504
5557 + 1504
5565 # 1504
5565 - 1504 251
5575 # 1504
5575 - 1504 261
5578 + 1504
5578 + 1504
5584 # 1504
5584 - 1504 270
5594 # 1504
5594 - 1504 280
5603 + 1504
5603 + 1504
5604 # 1504
5604 - 1504 253
5605 # 1504
5605 - 1504 236
5608 + 1504
5608 + 1504
5614 # 1504
5614 - 1504 237
5624 # 1504
5624 - 1504 247
5634 # 1504
5634 - 1504 244
5635 + 1504
5635 + 1504
5676 + 1504
5676 + 1504
5685 # 1504
5685 - 1504 295
5686 # 1504
5686 - 1504 275
5686 # 1504
5686 - 1504 274
5687 # 1504
5687 - 1504 248
5693 + 1504
5693 + 1504
5693 + 1504
5714 # 1504
5714 - 1504 275
5719 + 1504
5719 + 1504
5734 # 1504
5734 - 1504 295
5745 # 1504
5745 - 1504 306
5745 # 1504
5745 - 1504 287
5751 + 1504
5751 + 1504
5754 # 1504
5754 - 1504 296
5754 # 1504
5754 - 1504 277
5765 + 1504
5765 + 1504
5802 + 1504
5802 + 1504
5806 # 1504
5806 - 1504 329
5806 # 1504
5806 - 1504 294
5807 # 1504
5807 - 1504 295
5807 # 1504
5807 - 1504 295
5808 + 1504
5808 + 1504
5810 + 1504
5810 + 1504
5814 # 1504
5814 - 1504 302
5814 # 1504
5814 - 1504 286
5820 + 1504
5820 + 1504
5865 # 1504
5865 - 1504 337
5865 # 1504
5865 - 1504 313
5866 # 1504
5866 - 1504 314
5866 # 1504
5866 - 1504 309
5870 + 1504
5870 + 1504
5870 + 1504
5870 + 1504
5914 # 1504
5914 - 1504 357
5918 + 1504
5924 # 1504
5924 - 1504 346
5924 # 1504
5924 - 1504 346
5924 # 1504
5924 - 1504 321
5926 + 1504
5926 + 1504
5944 # 1504
5944 - 1504 341
5945 # 1504
5945 - 1504 337
5949 + 1504
5949 + 1504
5954 # 1504
5954 - 1504 346
5957 + 1504
5957 + 1504
5965 # 1504
5965 - 1504 330
5965 # 1504
5965 - 1504 330
5972 + 1504
5972 + 1504
5974 # 1504
5974 - 1504 298
5985 # 1504
5985 - 1504 309
5987 + 1504
5987 + 1504
5994 # 1504
5994 - 1504 301
6005 # 1504
6005 - 1504 312
6007 + 1504
6007 + 1504
6014 # 1504
6014 - 1504 321
6018 + 1504
6018 + 1504
6065 # 1504
6065 - 1504 346
6065 # 1504
6065 - 1504 346
6065 # 1504
6065 - 1504 314
6066 # 1504
6066 - 1504 315
6066 # 1504
6066 - 1504 301
6068 + 1504
6068 + 1504
6068 + 1504
6068 + 1504
6114 # 1504
6114 - 1504 349
6114 # 1504
6114 - 1504 312
6114 # 1504
6114 - 1504 312
6115 # 1504
6115 - 1504 307
6116 # 1504
6116 - 1504 308
6116 + 1504
6116 + 1504
6116 + 1504
6116 + 1504
6119 + 1504
6119 + 1504
6124 # 1504
6124 - 1504 314
6170 + 1504
6174 # 1504
6174 - 1504 364
6174 # 1504
6174 - 1504 354
6177 + 1504
6177 + 1504
6194 # 1504
6194 - 1504 374
6194 # 1504
6194 - 1504 324
6194 # 1504
6194 - 1504 324
6197 + 1504
6197 + 1504
6197 + 1504
6197 + 1504
6225 # 1504
6225 - 1504 355
6226 # 1504
6226 - 1504 356
6226 # 1504
6226 - 1504 308
6230 + 1504
6230 + 1504
6268 + 1504
6274 # 1504
6274 - 1504 348
6274 # 1504
6274 - 1504 348
6274 # 1504
6274 - 1504 325
6275 # 1504
6275 - 1504 326
6276 # 1504
6276 - 1504 319
6278 + 1504
6278 + 1504
6278 + 1504
6278 + 1504
6285 # 1504
6285 - 1504 328
6288 + 1504
6288 + 1504
6294 # 1504
6294 - 1504 322
6305 # 1504
6305 - 1504 333
6305 # 1504
6305 - 1504 318
6308 + 1504
6308 + 1504
6314 # 1504
6314 - 1504 327
6319 + 1504
6319 + 1504
6325 # 1504
6325 - 1504 318
6334 # 1504
6334 - 1504 327
6338 + 1504
6338 + 1504
6345 # 1504
6345 - 1504 327
6354 # 1504
6354 - 1504 336
6354 # 1504
6354 - 1504 286
6357 + 1504
6357 + 1504
6365 # 1504
6365 - 1504 297
6371 + 1504
6371 + 1504
6374 # 1504
6374 - 1504 306
6385 # 1504
6385 - 1504 317
6387 + 1504
6387 + 1504
6394 # 1504
6394 - 1504 278
6405 # 1504
6405 - 1504 289
6413 + 1504
6413 + 1504
6414 # 1504
6414 - 1504 298
6414 # 1504
6414 - 1504 298
6419 + 1504
6419 + 1504
6425 # 1504
6425 - 1504 306
6434 # 1504
6434 - 1504 315
6437 + 1504
6437 + 1504
6445 # 1504
6445 - 1504 275
6489 + 1504
6489 + 1504
6494 # 1504
6494 - 1504 317
6494 # 1504
6494 - 1504 317
6494 # 1504
6494 - 1504 297
6495 # 1504
6495 - 1504 298
6498 + 1504
6498 + 1504
6498 + 1504
6498 + 1504
6525 # 1504
6525 - 1504 328
6525 # 1504
6525 - 1504 328
6526 # 1504
6526 - 1504 296
6527 + 1504
6527 + 1504
6534 # 1504
6534 - 1504 304
6536 + 1504
6536 + 1504
6544 # 1504
6544 - 1504 276
6545 # 1504
6545 - 1504 267
6554 # 1504
6554 - 1504 276
6554 + 1504
6554 + 1504
6556 + 1504
6565 # 1504
6565 - 1504 287
6574 # 1504
6574 - 1504 296
6576 + 1504
6576 + 1504
6585 # 1504
6585 - 1504 297
6594 # 1504
6594 - 1504 306
6594 # 1504
6594 - 1504 286
6601 + 1504
6601 + 1504
6605 # 1504
6605 - 1504 297
6608 + 1504
6608 + 1504
6614 # 1504
6614 - 1504 295
6657 + 1504
6657 + 1504
6664 # 1504
6664 - 1504 345
6666 + 1504
